,id,idYTMusic,colaboracion,subscriptores,views
Karol G,85,UC7n3gWRN0vQzgiOKc51aZ4w,['Anuel AA'],28.9M,"15,607,051,800 views"
Darell,86,UCVsfgFfzYNMJvcQLDYT7fHw,"['El Alfa', 'Noriel']",3.12M,"1,200,777,299 views"
Sky Rompiendo,87,UCSTtXdKn1Dmx28ufElKiaqQ,"['Myke Towers', 'Rauw Alejandro']",359K,"178,688,220 views"
Luis Fonsi,88,UCk91oFc2hY2CdHirU93baLg,"['Rauw Alejandro', 'Demi Lovato', 'Ozuna']",31.2M,"14,790,506,395 views"
Chyno Miranda,89,UCKIxJ-kUSqhXUL5H-9brFcg,"['Chino & Nacho', 'Nacho', 'J Balvin']",807K,"291,061,460 views"
CNCO,90,UCYkfG1iLz04t-X2WTsSO4Dw,['Natti Natasha'],11.9M,"7,052,234,930 views"
Tainy,91,UCeN6GRz4bN054slorYxms0w,"['J Balvin', 'J Balvin']",2.17M,"1,780,019,603 views"
Evaluna Montaner,92,UCvPUs3Cm_Ioeihsy7ASXwLQ,['Camilo'],3.72M,"626,602,911 views"
Carlos Vives,93,UC4mhBXLZXLSffhVsrSsTdCQ,['Sebastián Yatra'],5.72M,"5,175,371,342 views"
Sebastián Yatra,94,UCXP8o4Xcws36pgpFNlGGBeg,"['Mau y Ricky', 'Mau y Ricky']",17.7M,No info
Chacal,95,UCJt4IsSmUjqTaamhCJoKK_g,"['Lenier', 'El Micha', 'El Micha', 'Baby Lores', 'Los 4', 'Lenier']",446K,"268,762,603 views"
Kim Loaiza,96,UCtGHTwNL20Y3fY9bumjHDOw,['Ovy On The Drums'],14.4M,"1,333,868,018 views"
Skrillex,97,UCibXKvuw5PoJVmyZJ4qhDIw,['J Balvin'],20M,"6,431,964,236 views"
Descemer Bueno,98,UCp0C7rQ8oJ5sn_7_mDbub8A,['Andra'],135K,"87,172,108 views"
Kendo Kaponi,99,UCLsG7r1pfUddC5VUI8Ero4g,"['Farruko', 'Anuel AA']",1.34M,"344,584,511 views"
El Kamel,100,UCPnWcazEV7QM0H7qBx6NVXg,['Juaco'],109K,No info
Boy Wonder CF,101,UC3IgJrS1IQIA94o27aKo-8Q,"['Baby Rasta', 'Bryant Myers', 'Cosculluela', 'Shootter Ledo']",19.2K,No info
J Menez,102,UCARR0lfCeeMhwL4uiWVDC9w,"['Arcangel', 'Jon Z']",34,No info
KHEA,103,UCtdeqcj1VRfkxCZ427miDMQ,"['Eladio Carrion', 'Noriel', 'Eladio Carrion', 'Noriel']",4.84M,"1,649,093,364 views"
Pacho El Antifeka,104,UCAv5hmBopmA80uNfPOQ4uYg,['Daddy Yankee'],320K,No info
Santana The Golden Boy,105,UC41R6sIP1KOZqxLONheeIWQ,"['Amenazzy', 'Noriel']",6.93K,No info
Silvestre Dangond,106,UCHgCGCFOoCaY6IB3nJC17Yg,"['Natti Natasha', 'Reik']",5.68M,No info
Greeicy,107,UCkurR0SHjTh55G-or6U-5xg,['Anitta'],5.55M,No info
Lalo Ebratt,108,UCFKMn3pbbaDwC0tuURgh9Eg,['Trapical'],918K,"499,112,785 views"
Plan B,109,UCptlL_RcC46JkGIcjkNspnA,['Justin Quiles'],5.59M,"3,868,679,594 views"
MC Ryan SP,110,UCVRLEQf_wH8zFb4qCfXqDXw,"['Mc Daniel', 'Mc Kadu', 'MC Joãozinho VT', 'MC Magal']",673K,No info
MC Cabelinho,111,UCuHcGlgGFESTD7kTsBgCG-A,"['Ariel Donato', 'Ariel Donato']",2.23M,No info
MC MENOR HR,112,UCTAQXxH14ygzlc0bPH7Jo7A,"['MC MENOR SG', 'DJ ESCOBAR', 'MC MENOR SG', 'DJ ESCOBAR']",37.2K,No info
MC Livinho,113,UC1oMv_rIbwb7KavdiN5EWvQ,"['Mc Paiva ZS', 'MC Ryan SP', 'MC Ryan SP']",3.01M,No info
Kotim,114,UC-XxvSPMHf6vWhijl2_1c_g,"['Mc Paiva ZS', 'MC Ryan SP', 'Love Funk', 'Mc Paiva ZS', 'Mc Paiva ZS']",3.2K,No info
MC Marks,115,UCGT7CQV3ZO3YGtCtLHNkT2Q,"['Mc IG', 'Mc Davi']",3.54M,No info
Dj LK da Escócia,116,UCgmiPii9xGO-xmp8rgN04tQ,"['Tchakabum', 'MC Ryan SP', 'DJ Breno', 'MC Livinho', 'Tchakabum', 'MC Ryan SP']",22.7K,No info
Mainstreet,117,UCxTfAlxexS9LTVpgfWfGnkA,['Chefin'],29.6K,No info
MC Don Juan,118,UCEJrzcV4RkXIpzKUhTYX-Sg,"['MC Ryan SP', 'MC Hariel', 'Mc Paiva ZS', 'Mc Davi', 'MC G15', 'MC Ryan SP', 'MC Hariel']",1.55M,No info
Djonga,119,UCh7u19KFpc6VMUyx_kQ_ErA,['MC Hariel'],2.24M,No info
L7NNON,120,UCPxwQAAQF-erZ8N83_mi22A,"['DJ Biel do Furduncinho', 'Bianca', 'DJ Bel da CDD', 'Os Hawaianos']",3.22M,No info
WIU,121,UCq6oOchdrstuKgv8d3kV3Dw,"['MC Ryan SP', 'MC Ryan SP']",101K,No info
Mc Piedro,122,UCOgmto9WYDbUIqMO-f6e7cw,"['Love Funk', 'MC Lemos', 'Mc Lipi ']",2.2K,No info
Veigh,123,UC7UjEC2p_CtXJXd_f48LI6w,"['MC Hariel', 'Mc Kitinho']",20K,No info
MC Teteu,124,UCUUt7DS3x4VKdx8q9BDmveQ,"['JC NO BEAT', 'DJ F7', 'Dj Serpinha']",134K,No info
DJ GBR,125,UCY5HngkMmxgt5lUYnnnM9nQ,"['Mc IG', 'MC Ryan SP', 'MC Marks']",248K,No info
DJ TAK VADIÃO,126,UC3ejGvTLyAgo6OjnM3mVbyA,"['dj sv', 'Mc Gabzin']",2.41K,No info
Luísa Sonza,127,UCuPnO05OM95aA1kVQ2tEFPQ,"['Davi Kneip', 'Mc Frog e Mc Leozin', 'Dj Gabriel do Borel', 'Luan Santana', 'Xamã']",7.87M,"2,127,773,524 views"
MC Tairon,128,UChfh_GSdDxrI_dVgtM2m-Ag,"['Mc Vitin da Igrejinha', 'Dj Win', 'MC Braz', 'Dj Win']",51.1K,No info
Orochi,129,UCKr613dWPqkCDsHzqsDdxag,"['MC Ryan SP', 'Oruam', 'MC Ryan SP', 'Oruam', 'MC Daniel', 'BIN', 'Caio Passos']",3.22M,No info
Gabb MC,130,UCt20S0u764gn9KxZUS5Nr4w,"['Mc Paiva ZS', 'Mc Kadu']",16.2K,No info
DJ Boy,131,UCw0C6r4tnLwy1GNzcLxBrWQ,"['Mc Kako', 'MC V7']",198K,No info
Dyamante DJ ,132,UCMXZrqW8g8V9KCkeYBUagFQ,['MC GW'],10.1K,No info
Mc Paiva ZS,133,UC1F9t_RXoETqKkI4mqLb3xw,['Kotim'],139K,No info
Mc IG,134,UCy8mM-ay_amwlPoX2Vc6dBA,"['MC Ryan SP', 'DJ GBR', 'MC Joãozinho VT', 'MC Hariel']",280K,No info
MC Cebezinho,135,UClOBniuDdn5Rwnr3mP--u2w,"['Mc Paiva ZS', 'MC Ryan SP']",21.8K,No info
