artista,colaborador,duracion,explicito,visitas,fecha_publicacion,title
Tiago PZK,Maria Becerra,289,False,300235021,2022/01/05,Entre Nosotros (Remix)
Tiago PZK,Nicki Nicole,289,False,300235021,2022/01/05,Entre Nosotros (Remix)
Rauw Alejandro,Chencho Corleone,232,False,367253885,2021/12/09,Desesperados
Mora,Feid,202,False,41919503,2022/05/19,LA INOCENTE
Bad Bunny,ROSALÍA,218,False,573437135,2021/02/14,LA NOCHE DE ANOCHE
Bad Bunny,Jhay Cortez,214,False,1241387333,2020/10/29,Dákiti
Ozuna,Karol G,262,False,619610920,2020/08/17,Caramelo Remix (Video Oficial)
Ozuna,Myke Towers,262,False,619610920,2020/08/17,Caramelo Remix (Video Oficial)
KAROL G,Nicki Minaj,204,False,1398401497,2019/11/07,Tusa (Official Video)
Ozuna,Camilo,259,False,517006244,2020/09/03,Despeinada
Bad Bunny,Anuel AA,269,False,350808952,2020/05/28,Hasta que Dios diga
Myke Towers,Juhn,233,False,695781743,2020/12/10,Bandido
Lenny Tavárez,Dalex,197,False,314574878,2020/03/26,Elegí (feat. Dimelo Flow)
Lenny Tavárez,Rauw Alejandro,197,False,314574878,2020/03/26,Elegí (feat. Dimelo Flow)
Anuel AA,Rauw Alejandro,229,False,423281443,2020/10/22,Reloj
Bad Bunny,Dua Lipa,250,False,335700884,2020/07/23,UN DIA (ONE DAY)
Bad Bunny,Tainy,250,False,335700884,2020/07/23,UN DIA (ONE DAY)
Bad Bunny,J Balvin,250,False,335700884,2020/07/23,UN DIA (ONE DAY)
Travis Scott,ROSALÍA,175,False,219037878,2020/05/28,TKN
Pedro Capó,Camilo,211,False,749078304,2019/08/08,Tutu
Shakira,Anuel AA,193,False,227212880,2020/03/06,Me Gusta (Official Video)
Bad Bunny,Daddy Yankee,207,False,305031520,2020/02/28,La santa
Karol G,Anuel AA,203,False,191345834,2020/04/01,Follow
Darell,El Alfa,216,False,172003011,2020/03/11,4K
Darell,Noriel,216,False,172003011,2020/03/11,4K
Manuel Turizo,Myke Towers,237,False,186199386,2020/10/08,La Nota
